id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,rata_rata_harga_produsen,satuan,tahun
146,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,FEBRUARI,20000,RUPIAH/KILOGRAM,2021
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,3,MARET,20000,RUPIAH/KILOGRAM,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,4,APRIL,20000,RUPIAH/KILOGRAM,2021
149,32,JAWA BARAT,3213,KABUPATEN SUBANG,5,MEI,20000,RUPIAH/KILOGRAM,2021
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,JUNI,20000,RUPIAH/KILOGRAM,2021
151,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,JULI,20000,RUPIAH/KILOGRAM,2021
152,32,JAWA BARAT,3213,KABUPATEN SUBANG,8,AGUSTUS,20000,RUPIAH/KILOGRAM,2021
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,9,SEPTEMBER,20000,RUPIAH/KILOGRAM,2021
154,32,JAWA BARAT,3213,KABUPATEN SUBANG,10,OKTOBER,20000,RUPIAH/KILOGRAM,2021
155,32,JAWA BARAT,3213,KABUPATEN SUBANG,11,NOVEMBER,20000,RUPIAH/KILOGRAM,2021
156,32,JAWA BARAT,3213,KABUPATEN SUBANG,12,DESEMBER,23000,RUPIAH/KILOGRAM,2021
157,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,JANUARI,35000,RUPIAH/KILOGRAM,2021
158,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2,FEBRUARI,35000,RUPIAH/KILOGRAM,2021
159,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3,MARET,35000,RUPIAH/KILOGRAM,2021
160,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4,APRIL,20000,RUPIAH/KILOGRAM,2021
161,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5,MEI,17000,RUPIAH/KILOGRAM,2021
162,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6,JUNI,17000,RUPIAH/KILOGRAM,2021
163,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7,JULI,17000,RUPIAH/KILOGRAM,2021
164,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8,AGUSTUS,17000,RUPIAH/KILOGRAM,2021
165,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9,SEPTEMBER,18310,RUPIAH/KILOGRAM,2021
166,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10,OKTOBER,17000,RUPIAH/KILOGRAM,2021
167,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11,NOVEMBER,17000,RUPIAH/KILOGRAM,2021
168,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12,DESEMBER,19806,RUPIAH/KILOGRAM,2021
169,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,JANUARI,22000,RUPIAH/KILOGRAM,2021
170,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,FEBRUARI,22000,RUPIAH/KILOGRAM,2021
171,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,MARET,22000,RUPIAH/KILOGRAM,2021
172,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4,APRIL,22000,RUPIAH/KILOGRAM,2021
173,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,MEI,22000,RUPIAH/KILOGRAM,2021
174,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6,JUNI,22000,RUPIAH/KILOGRAM,2021
175,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,JULI,22000,RUPIAH/KILOGRAM,2021
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8,AGUSTUS,22000,RUPIAH/KILOGRAM,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9,SEPTEMBER,22000,RUPIAH/KILOGRAM,2021
178,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10,OKTOBER,22000,RUPIAH/KILOGRAM,2021
179,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11,NOVEMBER,22000,RUPIAH/KILOGRAM,2021
180,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12,DESEMBER,22000,RUPIAH/KILOGRAM,2021
